K,time,radius,radius_ratio,certified_mean_gap_ratio
16,0.0,6053114.756243988,1.0,1.0
16,0.0008,6052260.259185497,0.9998588334943411,0.9997176869166646
16,0.0016,6051405.882753371,0.9997176869166648,0.9994354535340068
16,0.0024000000000000002,6050551.6269305805,0.9995765602641576,0.9991532998295252
16,0.0032,6049697.4917001,0.9994354535340069,0.998871225780726
16,0.004,6048843.477044905,0.9992943667234001,0.9985892313651212
16,0.0048000000000000004,6047989.582947969,0.9991532998295247,0.9983073165602281
16,0.0056,6047135.809392279,0.9990122528495695,0.9980254813435722
16,0.0064,6046282.156360817,0.9988712257807234,0.9977437256926849
16,0.007200000000000001,6045428.6238365695,0.9987302186201756,0.9974620495851039
16,0.008,6044575.211802525,0.998589231365116,0.9971804529983732
16,0.0088,6043721.920241679,0.998448264012735,0.9968989359100442
16,0.009600000000000001,6042868.749137023,0.9983073165602229,0.996617498297673
16,0.010400000000000001,6042015.698471555,0.9981663890047707,0.9963361401388233
16,0.0112,6041162.768228267,0.9980254813435692,0.9960548614110629
16,0.012,6040309.958390162,0.9978845935738098,0.9957736620919675
16,0.0128,6039457.268940238,0.9977437256926839,0.9954925421591176
16,0.013600000000000001,6038604.699861505,0.9976028776973846,0.995211501590103
16,0.014400000000000001,6037752.251136967,0.9974620495851042,0.9949305403625168
16,0.0152,6036899.922749634,0.997321241353036,0.9946496584539607
16,0.016,6036047.714682519,0.9971804529983735,0.9943688558420415
16,0.016800000000000002,6035195.626918641,0.9970396845183114,0.9940881325043739
16,0.0176,6034343.659441018,0.9968989359100441,0.9938074884185781
16,0.0184,6033491.812232668,0.9967582071707664,0.9935269235622803
16,0.019200000000000002,6032640.085276615,0.9966174982976734,0.9932464379131131
16,0.02,6031788.4785558805,0.9964768092879606,0.9929660314487145
16,0.020800000000000003,6030936.992053491,0.9963361401388237,0.9926857041467296
16,0.0216,6030085.625752474,0.9961954908474586,0.992405455984809
16,0.0224,6029234.379635861,0.9960548614110623,0.9921252869406104
16,0.023200000000000002,6028383.253686686,0.9959142518268317,0.991845196991798
16,0.024,6027532.247887985,0.9957736620919645,0.9915651861160419
16,0.024800000000000003,6026681.362222798,0.9956330922036588,0.9912852542910193
16,0.0256,6025830.596674167,0.9954925421591129,0.9910054014944131
16,0.0264,6024979.951225137,0.9953520119555261,0.9907256277039138
16,0.027200000000000002,6024129.425858756,0.9952115015900974,0.9904459328972165
16,0.028,6023279.020558072,0.9950710110600267,0.9901663170520238
16,0.028800000000000003,6022428.7353061335,0.9949305403625133,0.9898867801460427
16,0.0296,6021578.570085993,0.9947900894947573,0.9896073221569873
16,0.0304,6020728.524880704,0.9946496584539593,0.9893279430625778
16,0.031200000000000002,6019878.599673324,0.9945092472373204,0.9890486428405416
16,0.032,6019028.7944469135,0.9943688558420417,0.9887694214686111
16,0.0328,6018179.109184536,0.9942284842653256,0.9884902789245268
16,0.033600000000000005,6017329.543869257,0.9940881325043743,0.9882112151860345
16,0.0344,6016480.098484145,0.9939478005563906,0.9879322302308865
16,0.0352,6015630.77301227,0.9938074884185779,0.9876533240368419
16,0.036000000000000004,6014781.567436708,0.9936671960881399,0.9873744965816659
16,0.0368,6013932.481740532,0.9935269235622805,0.9870957478431295
16,0.0376,6013083.515906818,0.9933866708382034,0.9868170777990091
16,0.038400000000000004,6012234.669918645,0.9932464379131135,0.9865384864270884
16,0.0392,6011385.943759093,0.9931062247842154,0.9862599737051566
16,0.04,6010537.3374112435,0.9929660314487142,0.9859815396110089
16,0.0408,6009688.850858186,0.9928258579038162,0.9857031841224486
16,0.041600000000000005,6008840.484083008,0.9926857041467272,0.9854249072172836
16,0.0424,6007992.237068802,0.9925455701746542,0.9851467088733293
16,0.0432,6007144.109798662,0.9924054559848043,0.9848685890684075
16,0.044000000000000004,6006296.102255688,0.9922653615743854,0.9845905477803457
16,0.0448,6005448.2144229775,0.9921252869406051,0.9843125849869779
16,0.0456,6004600.446283632,0.9919852320806719,0.9840347006661445
16,0.046400000000000004,6003752.797820754,0.9918451969917942,0.9837568947956911
16,0.0472,6002905.26901745,0.9917051816711808,0.9834791673534697
16,0.048,6002057.859856822,0.9915651861160406,0.9832015183173383
